abstract_text,label,title,keywords
"Alternaria alternata is a common species of fungus frequently isolated from plants as both an endophyte and a pathogen. Although the current definition of A. alternata rests on a foundation of morphological, genetic and genomic analyses, doubts persist regarding the scope of A. alternata within the genus due to the varied symbiotic interactions and wide host range observed in these fungi. These doubts may be due in large part to the history of unstable taxonomy in Alternaria, based on limited morphological characters for species delimitation and host specificity associated with toxins encoded by genes carried on conditionally dispensable chromosomes. This review explores the history of Alternaria taxonomy, focusing in particular on the use of nutritional mode and host associations in species delimitation, with the goal of evaluating A. alternata as it currently stands based on taxonomic best practice. Given the recombination detected among isolates of A. alternata, different symbiotic associations in this species should not be considered phylogenetically informative.",1,Alternaria alternata as endophyte and pathogen,comps
"Filamentous ascomycete Phomopsis sp. are common inhabitants of natural ecosystems and, as saprophytes, are largely responsible for the destructive decay of litterfall, promoting the carbon and nitrogen cycles. Phomopsis liquidambari B3 can establish mutualistic symbiosis with a broad spectrum of crop plants. Colonizing dynamics observations and a growth promotion assay of rice and Arabidopsis thaliana revealed that the B3 colonization strategy is host-adapted and resulted in diﬀerent growth promotions inﬂuenced by N availability. However, the biochemical mechanisms and underlying genetics of the saprophyte transition to an endophyte are poorly understood. Here, the transcriptome features of generalist P. liquidambari and highlighted gene sets involved in the lifestyle transition from saprophytism to endophytism were reported. Most notable were genes for translation, ribosome biogenesis and MAPK signaling, several of which were only up-regulated in endophytic B3. Coordinated up-regulation of genes encoding enzymes involved in phenylalanine, tyrosine and tryptophan biosynthesis were preceded by secondary metabolite induction, which was encountered with host defense. Quantitative PCR validates the reliability of RNA-seq. Dissection at the molecular level facilitated a deeper understanding of P. liquidambari adaptation to hosts and the complex natural environment to play a role in sustainable agriculture and carbon and nitrogen cycles.",1,Endophytism or saprophytism: {Decoding} the lifestyle transition of the generalist fungus {Phomopsis} liquidambari,
"Candida spp. are part of the normal vaginal microﬂora in 20e30\% of healthy women. However, if the balance between these yeasts and the host is disturbed, Candida spp. can cause vulvovaginal candidiasis (VVC), with Candida albicans being the major causative agent. Different studies have been performed in order to better understand Candida's dual lifestyle in the vagina. The potential of C. albicans to switch from the yeast cell morphology to its hyphal form is considered a key element in VVC pathogenesis. Candida spp. also express other virulence factors, such as hydrolytic extracellular enzymes and heat shock proteins and can form bioﬁlms.",1,Candida and its dual lifestyle as a commensal and a pathogen,
"The coagulase-negative bacterium Staphylococcus epidermidis is a member of the human skin microbiota. S. epidermidis is not merely a passive resident on skin but actively primes the cutaneous immune response, maintains skin homeostasis and prevents opportunistic pathogens from causing disease via colonization resistance. However, it is now appreciated that S. epidermidis and its interactions with the host exist on a spectrum of potential pathogenicity derived from its high strain-level heterogeneity. S. epidermidis is the most common cause of implantassociated infections and is a canonical opportunistic biofilm former. Additional emerging evidence suggests that some strains of S. epidermidis may contribute to the pathogenesis of common skin diseases. Here, we highlight new developments in our understanding of S. epidermidis strain diversity, skin colonization dynamics and its multifaceted interactions with the host and other members of the skin microbiota.",1,Staphylococcus epidermidis and its dual lifestyle in skin health and infection,
"The genus Diaporthe encompasses important plant pathogens, endophytes, and saprobes that are widely distributed in tropical and temperate regions. An accurate detection and identiﬁcation of plant pathogens not only allows correct disease diagnosis but also increases the accuracy of taxonomic ambiguities for fungal-plant interactions purposes. Multi-omics approaches applied to this genus may represent valuable tools to unravel molecular mechanisms involved in the infection processes. Additionally, omics can provide adaptation patterns that make pathogens thrive under changing environmental conditions, and insights into the dual pathogen-endophyte lifestyle. Therefore, all published data covered in this literature review represents an important contribution to deepen the knowledge on the importance of omics in fungal-plant interactions. This accumulating evidence will speed up the research on formulating new strategies to control plant pathologies, to assist in the exploitation of endophytes for their function in plant hosts, and to underline molecular factors of fungal pathogenicity and endophytism in the genus Diaporthe.",1,Mechanisms {Underlying} the {Pathogenic} and {Endophytic} {Lifestyles} in {Diaporthe}: {An} {Omics}-{Based} {Approach},
"Schizophyllum commune is a mushroom forming basidiomycete. It is considered a versatile fungus because of its global distribution, its high genotypic and phenotypic variability, and its growth under high pressure, high cosmic radiation, as well as aerobic and anaerobic conditions. The versatility of S. commune is also evident from the fact that it normally grows as a saprophyte on a wide variety of plant waste including wood but that it also can be a pathogen of plants and animals and may be an endophyte as well. Apart from its biology, S. commune is also versatile because it is a model system for mushroom formation, mycelium materials, and cell wall architecture and composition, while it also produces molecules of interest for medical and industrial applications.",1,The versatility of {Schizophyllum} commune in nature and application,
"Summary Fungi interact with their environment by secreting proteins to obtain nutrients, elicit responses and modify their surroundings. Because the set of proteins secreted by a fungus is related to its lifestyle, it should be possible to use it as a tool to predict fungal lifestyle. To test this hypothesis, we bioinformatically identified 538 and 554 secretable proteins in the monokaryotic strains PC9 and PC15 of the white rot basidiomycete Pleurotus ostreatus . Functional annotation revealed unknown functions (37.2\%), glycosyl hydrolases (26.5\%) and redox enzymes (11.5\%) as the main groups in the two strains. When these results were combined with RNA‐seq analyses, we found that the relative importance of each group was different in different strains and culture conditions and the relevance of the unknown function proteins was enhanced. Only a few genes were actively expressed in a given culture condition in expanded multigene families, suggesting that family expansi on could increase adaptive opportunities rather than activity under a specific culture condition. Finally, we used the set of P. ostreatus secreted proteins as a query to search their counterparts in other fungal genomes and found that the secretome profiles cluster the tested basidiomycetes into lifestyle rather than phylogenetic groups.",1,Comparative and transcriptional analysis of the predicted secretome in the lignocellulose‐degrading basidiomycete fungus {Pleurotus ostreatus},
"Most Boletaceae form ectomycorrhizas but species in two sister groups (subfamily Chalciporoideae and the genus Pseudoboletus) have unclear trophic modes and are putatively mycoparasitic. Chalciporoideae is the earliest diverging lineage in Boletaceae and includes Chalciporus and Buchwaldoboletus. Buchwaldoboletus species fruit on wood and were thought to be saprobes, but the type species Buchwaldoboletus lignicola is mycoparasitic on the wood decay fungus Phaeolus schweinitzii. However, the nutritional mode and host range of B. lignicola and other Buchwaldoboletus remain unclear. We obtained fresh collections and axenic cultures of B. lignicola, B. hemichrysus and B. sphaerocephalus from the southeastern USA. We use cultures to examine the phylogenetic relationships among taxa in Chalciporoideae, elucidate the trophic mode of Buchwaldoboletus species and test the effect that Buchwaldoboletus species have on wood decay. Our analysis supports the hypothesis that the Chalciporus lineage is sister to all other Boletaceae but suggests that Buchwaldoboletus is not monophyletic. Confrontation experiments on agar suggest that Buchwaldoboletus species might parasitize a wide range of decay fungi. Buchwaldoboletus hemichrysus and B. sphaerocephalus produce abundant conidia in culture whereas the more distantly related B. lignicola produces sclerotia. Wood decay assays show that Buchwaldoboletus species did not have a significant effect on the decay caused by wood decay fungi. Interestingly, when B. lignicola or B. hemichrysus were inoculated alone on wood both species decayed wood, producing a brown rot that can cause 35–65\% mass loss over 6 months. Our results suggest that Buchwaldoboletus species have a dual trophic mode as saprobes and mycoparasites.",1,"Polyphyly, asexual reproduction and dual trophic mode in {Buchwaldoboletus}",
"Apple trees [ Malus domestica Borkh. ( Rosaceae )] are one of the important temperate fruit crops in China. In comparison to other temperate fruits, such as grapes and pears, fungal studies (in Yunnan) associated with M. domestica are fewer in number. In the present study, we investigated fungi associated with M. domestica in Qujing City, Yunnan Province, China. Samples were collected from apple gardens in different locations. Single spore isolation was carried out to isolate saprobic fungi, while the surface sterilization method was carried out to isolate endophytic fungi. Molecular analyses were carried out to determine the phylogenetic placement of the new collections. Based on the combined methods of morphology and phylogeny, Cytospora qujingensis sp. nov. and Hypoxylon malongense sp. nov. are introduced as novel saprobic and endophytic taxa, respectively. Moreover, Aureobasidium pullulans and Cytospora schulzeri are reported as new geological records from southwestern China. Allocryptovalsa castaneae is reported on M. domestica in China for the first time. The checklist of fungi associated with M. domestica in China is presented.",1,"Fungi from {Malus} in {Qujing}, {China}: two new species, three new records, and insights into potential host jumping and lifestyle switching",
"Increasing nitrogen (N) deposition often tends to negatively impact the functions of belowground ectomycorrhizal networks, although the exact molecular mechanisms underlying this trait are still unclear. Here, we assess how the root-associated fungus Clitopilus hobsonii establishes an ectomycorrhiza-like association with its host tree Populus tomentosa and how this interaction is favored by organic N over mineral N. The establishment of a functional symbiosis in the presence of organic N promotes plant growth and the transfer of 15N from the fungus to above ground plant tissues. Genomic traits and in planta transcriptional signatures suggest that C. hobsonii may have a dual lifestyle with saprotrophic and mutualistic traits. For example, several genes involved in the digestion of cellulose and hemicellulose are highly expressed during the interaction, whereas the expression of multiple copies of pectin-digesting genes is tightly controlled. Conversely, the nutritional mutualism is dampened in the presence of ammonium (NH4+) or nitrate (NO3 ). Increasing levels of NH4+ led to a higher expression of pectin-digesting genes and a continuous increase in hydrogen peroxide production in roots, whereas the presence of NO3 resulted in toxin production. In summary, our results suggest that C. hobsonii is a facultative ectomycorrhizal fungus. Access to various forms of N acts as an on/off switch for mutualism caused by large-scale fungal physiological remodeling. Furthermore, the abundance of pectin-degrading enzymes with distinct expression patterns during functional divergence after exposure to NH4 + or organic N is likely to be central to the transition from parasitism to mutualism.",1,A facultative ectomycorrhizal association is triggered by organic nitrogen,
