abstract_text,label,title,keywords
"Alternaria alternata is a common species of fungus frequently isolated from plants as both an endophyte and a pathogen. Although the current definition of A. alternata rests on a foundation of morphological, genetic and genomic analyses, doubts persist regarding the scope of A. alternata within the genus due to the varied symbiotic interactions and wide host range observed in these fungi. These doubts may be due in large part to the history of unstable taxonomy in Alternaria, based on limited morphological characters for species delimitation and host specificity associated with toxins encoded by genes carried on conditionally dispensable chromosomes. This review explores the history of Alternaria taxonomy, focusing in particular on the use of nutritional mode and host associations in species delimitation, with the goal of evaluating A. alternata as it currently stands based on taxonomic best practice. Given the recombination detected among isolates of A. alternata, different symbiotic associations in this species should not be considered phylogenetically informative.",1,Alternaria alternata as endophyte and pathogen,comps
"Schizophyllum commune is a mushroom forming basidiomycete. It is considered a versatile fungus because of its global distribution, its high genotypic and phenotypic variability, and its growth under high pressure, high cosmic radiation, as well as aerobic and anaerobic conditions. The versatility of S. commune is also evident from the fact that it normally grows as a saprophyte on a wide variety of plant waste including wood but that it also can be a pathogen of plants and animals and may be an endophyte as well. Apart from its biology, S. commune is also versatile because it is a model system for mushroom formation, mycelium materials, and cell wall architecture and composition, while it also produces molecules of interest for medical and industrial applications.",1,The versatility of {Schizophyllum} commune in nature and application,
"Over the past 10 years evidence has increased that Phytophthora species are common in estuarine and coastal environments. These findings made it seem possible that Phytophthora spp. might also be present in mangrove habitats of the Philippines. In this manuscript P. insolita, an oospore-producing Phytophthora species devoid of antheridia, is reported as an additional member of estuarine oomycetes and reported from the Philippines for the first time. The Philippine strain, P insolita H3YB, was isolated from a fallen senescent mangrove leaf in Hinigaran, Negros Occidental, Philippines. The morphology of H3YB and its phylogenetic placement agreed with its identification as P. insolita. Further targeted studies into the ecology of Phytophthora species in mangroves might shed light on the ecological role of these species in the mangrove ecosystem.",0,Confirmation that {Phytophthora} insolita ({Peronosporaceae}) is present as a marine saprotroph on mangrove leaves and first report of the species for the {Philippines},
"Endophytes typically coexist with plants in symbiosis and transition into the saprobic system as plant tissues senesce, participating in the decomposition process of litter. However, the dynamic changes of endophytic communities during this process and their role in litter decomposition remain unclear. This study tracked the microbial composition across the transition from live leaves to litter in Cinnamomum camphora (L.) Presl (C. camphora) , evaluating the contribution of endophytes to litter decomposition by examining microbial diversity, community assembly, and co-occurrence networks along the endophyte-to-saprotroph spectrum. The results revealed increasing bacterial diversity but stable fungal diversity, and the diversity of endogenous microbes is mirrored this in the saprophytic phase. Bacterial community assembly was characterized by deterministic processes during the symbiotic phase, shifted to stochastic processes during the saprophytic phase. In contrast, fungal community assembly was predominantly driven by stochastic processes throughout the continuum. Out of the 49 keystone taxa identified, only Pseudorhodoplanes sinuspersici demonstrated a significant positive correlation with community assembly. All identified bacterial keystone taxa during the saprophytic phase originated from endophytic sources, and around 80\% of the fungal keystone taxa in the initial stages of decomposition were similarly endophytic in origin. Additionally, 60\% of the dominant bacterial taxa and 28\% of the dominant fungal taxa at the commencement of decomposition were of endophytic descent. This suggests that endogenous microbes possess the potential to evolve into both keystone and dominant taxa during the saprophytic phase. Endogenous keystone and dominant microbes both exhibited significant correlations with microbial network, indicating their substantial ecological presence in microbial community. Both endogenous keystone and dominant taxa exerted significant potential influences on litter decomposition. Overall, during the saprophytic phase, endophytes are likely to influence the assemblage of microbial communities, the network structure, and decomposition-related functions. Specifically, it appears that bacterial endophytes may possess a greater adaptability to the decomposition processes of leaf litter compared to their fungal counterparts.",1,Tracing microbial community across endophyte-to-saprotroph continuum of {Cinnamomum} camphora ({L}.) {Presl} leaves considering priority effect of endophyte on litter decomposition,
"Summary Some soil fungi in the Leotiomycetes form ericoid mycorrhizal ( ERM ) symbioses with Ericaceae. In the harsh habitats in which they occur, ERM plant survival relies on nutrient mobilization from soil organic matter ( SOM ) by their fungal partners. The characterization of the fungal genetic machinery underpinning both the symbiotic lifestyle and SOM degradation is needed to understand ERM symbiosis functioning and evolution, and its impact on soil carbon (C) turnover. We sequenced the genomes of the ERM fungi Meliniomyces bicolor , M. variabilis , Oidiodendron maius and Rhizoscyphus ericae , and compared their gene repertoires with those of fungi with different lifestyles (ecto‐ and orchid mycorrhiza, endophytes, saprotrophs, pathogens). We also identified fungal transcripts induced in symbiosis. The ERM fungal gene contents for polysaccharide‐degrading enzymes, lipases, proteases and enzymes involved in secondary metabolism are closer to those of saprotrophs and pathogens than to those of ectomycorrhizal symbionts. The fungal genes most highly upregulated in symbiosis are those coding for fungal and plant cell wall‐degrading enzymes ( CWDE s), lipases, proteases, transporters and mycorrhiza‐induced small secreted proteins (Mi SSP s). The ERM fungal gene repertoire reveals a capacity for a dual saprotrophic and biotrophic lifestyle. This may reflect an incomplete transition from saprotrophy to the mycorrhizal habit, or a versatile life strategy similar to fungal endophytes. , See also the Commentary on this article by Selosse et al. , 217 : 968–972 .",1,Comparative genomics and transcriptomics depict ericoid mycorrhizal fungi as versatile saprotrophs and plant mutualists,
"Although Nectria is the type genus of Nectriaceae (Hypocreales, Sordariomycetes, Pezizomycotina, Ascomycota), the systematics of the teleomorphic and anamorphic state of Nectria sensu Rossman has not been studied in detail. The objectives of this study are to 1) provide a phylogenetic overview to determine if species of Nectria with Gyrostroma, Tubercularia, and Zythiostroma anamorphs form a monophyletic group; 2) define Nectria, segregate genera, and their species using morphologically informative characters of teleomorphic and anamorphic states; and 3) provide descriptions and illustrations of these genera and species. To accomplish these objectives, results of phylogenetic analyses of DNA sequence data from six loci (act, ITS, LSU, rpb1, tef1 and tub), were integrated with morphological characterisations of anamorphs and teleomorphs. Results from the phylogenetic analyses demonstrate that species previously regarded as the genus Nectria having Gyrostroma, Tubercularia, and Zythiostroma anamorphs belong in two major paraphyletic clades. The first major clade regarded as the genus Pleonectria contains 26 species with ascoconidia produced by ascospores in asci, perithecial walls having bright yellow scurf, and immersed or superficial pycnidial anamorphs (Zythiostroma = Gyrostroma). A lineage basal to the Pleonectria clade includes Nectria miltina having very small, aseptate ascospores, and trichoderma-like conidiophores and occurring on monocotyledonous plants. These characteristics are unusual in Pleonectria, thus we recognise the monotypic genus Allantonectria with Allantonectria miltina. The second major clade comprises the genus Nectria sensu stricto including the type species, N. cinnabarina, and 28 additional species. Within the genus Nectria, four subclades exist. One subclade includes species with sporodochial anamorphs and another with synnematous anamorphs. The other two paraphyletic subclades include species that produce abundant stromata in which the large perithecia are immersed, large ascospores, and peculiar anamorphs that form pycnidia or sporodochia either on their natural substrate or in culture. In this study the evolution of species, morphology, and ecology of the three genera, Allantonectria, Nectria, and Pleonectria, are discussed based on the phylogenetic analyses. In addition, descriptions, illustrations, and keys for identification are presented for the 56 species in Allantonectria, Nectria, and Pleonectria.",0,"A monograph of {Allantonectria}, {Nectria}, and {Pleonectria} ({Nectriaceae}, {Hypocreales}, {Ascomycota}) and their pycnidial, sporodochial, and synnematous anamorphs",
"A new ascomycete genus, Achroceratosphaeria, is described for three lignicolous species from freshwater and terrestrial habitats in Asia and Europe on the basis of morphological studies and phylogenetic analysis of combined nc28S (LSU) and nc18S (SSU) rDNA sequence data. The new genus is characterized by minute, hyaline or subhyaline to pale brown perithecia immersed in the substratum with hyaline to subhyaline emergent necks. Paraphyses disintegrate with age, asci are cylindrical-clavate with a distinct apical annulus containing eight hyaline ascospores; ascospores are smooth-walled, ranging from ellipsoidal to fusiform to cylindrical-fusiform, without a mucilaginous sheath or appendages. All three species were obtained after incubation in a moist chamber. Achroceratosphaeria resembles Ceratosphaeria, Pseudohalonectria or Clohiesia in ascospore morphology, but molecular data do not support these relationships. In our phylogeny, a relationship between Achroceratosphaeria and taxa in the Lulworthiales and Koralionastetales is confirmed. Ceratosphaeria incolorata is transferred to Achroceratosphaeria and a new combination is proposed. A key to the species accepted in Achroceratosphaeria is provided.",0,"Achroceratosphaeria, a new ascomycete genus in the {Sordariomycetes}, and re-evaluation of {Ceratosphaeria} incolorata",
"Demonstrating different types of biotrophy fungi are outstanding within eukaryotes. All types of symbioses sensu deBary [1] (parasitism, mutualism, amensalism, commensalism, neutralism, antagonism) and all possible transient forms of these are represented by them. Furtherly the word „symbiosis” will be used, as commonly, in the strict concept as mutualistic symbiosis.",1,{FUNGAL} {SYMBIOSES},
"ABSTRACT Cladobotryum dendroides (= Dactylium dendroides ) has hitherto been regarded as the major causal agent of cobweb disease of the cultivated mushroom, Agaricus bisporus . Nucleotide sequence data for the internal transcribed spacer (ITS) regions of four Cladobotryum/Hypomyces species reported to be associated with cobweb disease, however, indicate that the most common pathogen is now C. mycophilum . This cobweb pathogen varies somewhat in conidial septation from published descriptions of C. mycophilum and lacks the distinctive colony odor. ITS sequencing revealed minor nucleotide variation which split isolates of the pathogen into three subgroups, two comprising isolates that were sensitive to methylbenzimidazole carbamate (MBC) fungicides and one comprising MBC-resistant isolates. The MBC-resistant isolates, which were only obtained from Ireland and Great Britain, clustered together strongly in randomly amplified polymorphic DNA (RAPD) PCR analysis, suggesting that they may be clonal. The MBC-sensitive isolates were more diverse. A RAPD fragment of 800 to 900 bp, containing a microsatellite and found in the MBC-resistant isolates, also indicated their clonal nature; the microsatellites of these isolates contained the same number of GA repeats. Smaller, polymorphic microsatellites, similarly comprising GA repeats, in the MBC-sensitive isolates in general correlated with their geographic origin.",0,Genetic and {Morphological} {Characterization} of {Cladobotryum} {Species} {Causing} {Cobweb} {Disease} of {Mushrooms},
"Symbioses between cool season grasses and fungi of the family Clavicipitaceae are an integral component of both natural and agricultural ecosystems. An excellent experimental model is the association between the biotrophic fungus Epichloë festucae and Lolium perenne (perennial ryegrass). The fungal partner produces a suite of secondary metabolites that protect the host from various biotic and abiotic stresses. The plant host provides a source of nutrients and a mechanism of dissemination via seed transmission. Crucial mechanisms that maintain a stable mutualistic association include signaling through the stress activated MAP kinase pathway and production of reactive oxygen species by the fungal NADPH oxidase (Nox) complex. Disruption of components of the Nox complex (NoxA, NoxR and RacA), or the stress-activated MAP kinase (SakA), leads to a breakdown in this ﬁnely balanced association, resulting in pathogenic infection instead of mutualism. Hosts infected with fungi lacking a functional Nox complex, or the stress-activated MAP kinase, display a stunted phenotype and undergo premature senescence, while the fungus switches from restricted to proliferative growth. To gain insight into the mechanisms that underlie these physiological changes, high throughput mRNA sequencing has been used to analyze the transcriptomes of both host and symbiont in wild-type and a mutant association. In the sakA mutant association, a dramatic upregulation of fungal hydrolases and transporters was observed, changes consistent with a switch from restricted symbiotic to proliferative pathogenic growth. Analysis of the plant transcriptome revealed dramatic changes in expression of host genes involved in pathogen defense, transposon activation and hormone biosynthesis and response. This review highlights how ﬁnely tuned grass-endophyte associations are, and how interfering with the signaling pathways involved in maintenance of these associations can trigger a change from mutualistic to pathogenic interaction.",1,What triggers grass endophytes to switch from mutualism to pathogenism?,
"A new genus, Acidomelania, is described based on molecular phylogenetic analyses and ecological and morphological characters. Isolated from switchgrass roots in acidic and oligotrophic New Jersey pine barrens in this study, Acidomelania likely has a global distribution because its internal transcribed spacer (ITS) sequence has high similarity with a number of GenBank sequences resulted from various ecological studies. Apparently these samples all were from roots of plants that lived in acidic, nutrient-poor environments. Phylogenetic analyses based on ITS, LSU and ACT sequence data strongly supported the fact that Acidomelania isolates formed a monophyletic clade in Helotiales, distinct from any known taxa. Phylogenetically Acidomelania is closely related to Loramyces, Mollisia and Phialocephala fortinii, Acephala applanata species complex (PAC), the dark septate endophytes. Acidomelania also can be distinguished from Loramyces and Mollisia by its association with living grass roots. While taxa in PAC also are root endophytes, they have more complex phialid arrangement than Acidomelania. Results from this work will facilitate ecological and evolutionary studies on root-associated fungi.",0,{Acidomelania panicicola} gen. et sp. nov. from switchgrass roots in acidic {New} {Jersey} pine barrens,
